"data_criacao","e_sobre_a_empresa","id","text","usuario"
"Tue Apr 23 23:35:06 +0000 2019",1,"1120833507222278145","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","jo leno dos bitols"
"Tue Apr 23 23:33:26 +0000 2019",0,"1120833086743302144","rt @novaesrocha1: a ressacada lotada é um caldeirão que fez total diferença hoje. os dois maiores públicos do campeonato foram do avaí. viv…","Jp"
"Tue Apr 23 23:32:43 +0000 2019",0,"1120832906874818560","@garotobipolar prazer, sadia","Frabricio"
"Tue Apr 23 23:20:14 +0000 2019",1,"1120829764162523137","comprei uma lasanha daquelas congeladas da sadia e mano... que nojo que virou esses trecos, comi só pq foi cara","langzinha"
"Tue Apr 23 23:19:19 +0000 2019",0,"1120829532884426752","rt @raahfranciele: rivalidade sadia entre as atléticas, tem melhor?","Gabriel Cordeiro"
"Tue Apr 23 23:17:26 +0000 2019",1,"1120829060098265088","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Torajo"
"Tue Apr 23 23:15:18 +0000 2019",1,"1120828520958255105","rt @oficialhaha: quantos anos você tinha quando descobriu que o mascote da sadia é o gasparzinho fantasiado de frango? https://t.co/qbr79ou…","_re.nata"
"Tue Apr 23 23:14:49 +0000 2019",1,"1120828399923146752","rt @rolealeatorio: com qtos anos voce percebeu que o mascote da @sadia na verdade era um dos empregos do pai do cris? https://t.co/4hwa7ln5…","𝕵𝖔𝖘𝖘"
"Tue Apr 23 23:14:07 +0000 2019",0,"1120828223787552770","minha conversa super sadia com ela https://t.co/ibp2qmeftr","Ser humano"
"Tue Apr 23 23:12:35 +0000 2019",0,"1120827839954206727","@alvinegr4ffc estou apenas brincando com você de uma maneira sadia por ser também torcedor do maior do estado!!!!!furacão 🌪❤️","Bruce Riggenbach"
"Tue Apr 23 23:12:05 +0000 2019",0,"1120827712568950784","rt @lucasalti: bebendo aquela brahma sadia com @pee_sk8","pedro."
"Tue Apr 23 23:11:50 +0000 2019",0,"1120827649671270405","bebendo aquela brahma sadia com @pee_sk8","Lucasalti"
"Tue Apr 23 23:10:45 +0000 2019",1,"1120827378576572416","rt @macacodaufg: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/cdbuqbq6to","Chapadinho na praia"
"Tue Apr 23 23:10:16 +0000 2019",1,"1120827255654100992","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Brenda"
"Tue Apr 23 23:04:40 +0000 2019",1,"1120825848687484928","rt @rolealeatorio: com qtos anos voce percebeu que o mascote da @sadia na verdade era um dos empregos do pai do cris? https://t.co/4hwa7ln5…","Gustavo Vital"
"Tue Apr 23 23:00:37 +0000 2019",1,"1120824828523622400","so queria uma pizza de lombinho da sadia, fazer no microondas pra ficar bem emborrachada, comer ela inteira vendo serie.. ooooperfeição","donds"
"Tue Apr 23 23:00:20 +0000 2019",1,"1120824755765035009","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Reaja, arrombado!✌🌝"
"Tue Apr 23 22:59:06 +0000 2019",0,"1120824447357919232","rt @youngevah: @sarhanascimento presenciei:
ser sadia ✔
tulipa ✔
kkkkk sdds","SARARÁ"
"Tue Apr 23 22:57:35 +0000 2019",1,"1120824064300527616","rt @idmsamuel: com quantos anos você descobriu que o mascote da @sadia é o choris numa fantasia de frango? https://t.co/vu838qoxwe","João Henrique"
"Tue Apr 23 22:56:09 +0000 2019",0,"1120823705540747264","o caminho antigo - exposição da bíblia em itajai, sc - ao vivo! https://t.co/dgqv0pkoik","Jun Sadia"
"Tue Apr 23 22:54:08 +0000 2019",0,"1120823197518258177","@sarhanascimento presenciei:
ser sadia ✔
tulipa ✔
kkkkk sdds","a lady que a gente ama"
